T average (derajat C),Sun Radiation (W/m2),RH Avg (%),Wind Direction (degree),Wind Speed Avg (m/s),Pressure Avg (hpA),Rain Rate (mm)
27.23888889,35.8125,67.72430556,157.8375,2.849305556,999.7375,0
27.70416667,33.77916667,73.58611111,131.7569444,2.906944444,999.8270833,0
27.125,28.78125,75.20138889,154.5395833,2.743055556,1000.088194,3
27.14097222,31.62708333,79.90833333,186.9006944,2.593055556,999.8458333,3
27.89097222,37.58541667,67.18125,148.7701389,2.907638889,1000.589583,0
27.41388889,34.98958333,76.17013889,194.7534722,3.611805556,1000.532639,0
28.00625,34.70277778,71.34027778,151.8347222,3.624305556,1000.189583,0
28.2625,35.41736111,71.50277778,170.1215278,3.568055556,1000.279167,0
27.65763889,41.80694444,73.46875,196.85625,3.745138889,1000.204167,0
27.94375,41.29236111,70.74722222,175.5763889,3.46875,1000.121528,0
27.79292392,33.20604212,72.62325681,195.9309293,4.463249527,1000.297451,0
27.88541667,29.47013889,72.84930556,187.9590278,4.311111111,1000.291667,0
27.89236111,39.70763889,62.27986111,173.1625,3.188888889,999.3229167,0
27.30138889,32.49722222,74.07013889,196.6979167,4.765972222,998.6986111,1
27.01875,44.1125,71.48333333,198.9784722,5.648611111,998.9076389,0
26.73402778,25.8875,76.42569444,197.1027778,2.332638889,998.8666667,4
27.39791667,41.60694444,76.18611111,201.9895833,4.172916667,998.7993056,0
27.86458333,34.35416667,75.77361111,180.1590278,3.094444444,998.6784722,0
27.59305556,34.675,75.98333333,200.2659722,4.308333333,999.3986111,0
27.48680556,37.76736111,75.92430556,207.9611111,3.981944444,998.4847222,0
27.72847222,37.39652778,74.57777778,201.4201389,4.913194444,998.4805556,2
27.72708333,43.46458333,72.19027778,200.7326389,5.28125,998.2263889,0
27.92777778,40.74236111,73.68055556,199.83125,4.870833333,998.6430556,0
28.15833333,43.26111111,73.19930556,203.4708333,4.718055556,998.525,0
28.08194444,34.83888889,74.06041667,203.8243056,4.277083333,998.09375,0
28.04027778,37.26597222,74.29652778,194.5583333,4.751388889,997.6069444,0
